filename,ramp_angle_deg,measured_angle_deg,predicted_angle_deg,residual_deg,frame
C0051.MP4,30,43.6,38.9,4.7,115
C0052.MP4,30,43.2,38.9,4.3,58
C0053.MP4,30,42.0,38.9,3.1,70
C0054.MP4,30,41.7,38.9,2.8,60
C0055.MP4,30,44.9,38.9,6.0,68
C0056.MP4,30,46.3,38.9,7.4,71
C0057.MP4,30,42.4,38.9,3.5,59
C0058.MP4,30,41.2,38.9,2.3,72
C0059.MP4,30,42.3,38.9,3.4,62
C0060.MP4,30,41.9,38.9,3.0,76
C0061.MP4,30,44.5,38.9,5.6,68
C0062.MP4,30,41.0,38.9,2.1,78
C0063.MP4,30,41.7,38.9,2.8,67
C0064.MP4,30,40.3,38.9,1.4,59
C0065.MP4,30,41.3,38.9,2.4,74
C0066.MP4,30,42.3,38.9,3.4,71
C0067.MP4,30,38.8,38.9,-0.1,67
C0068.MP4,30,41.0,38.9,2.1,82
C0069.MP4,30,38.3,38.9,-0.6,65
C0070.MP4,30,6.4,38.9,-32.5,33
C0071.MP4,30,38.7,38.9,-0.2,66
C0072.MP4,30,41.0,38.9,2.1,56
C0073.MP4,30,38.1,38.9,-0.8,69
C0074.MP4,30,42.7,38.9,3.8,55
C0075.MP4,30,40.4,38.9,1.5,82
C0076.MP4,30,39.3,38.9,0.4,116
C0077.MP4,30,40.5,38.9,1.6,57
C0078.MP4,30,42.4,38.9,3.5,80
C0079.MP4,30,5.3,38.9,-33.6,28
C0080.MP4,30,5.8,38.9,-33.1,21
C0081.MP4,45,50.1,51.6,-1.5,64
C0082.MP4,45,47.3,51.6,-4.3,77
C0083.MP4,45,48.2,51.6,-3.4,79
C0084.MP4,45,49.3,51.6,-2.3,84
C0085.MP4,45,47.0,51.6,-4.6,66
C0086.MP4,45,48.4,51.6,-3.2,81
C0087.MP4,45,49.4,51.6,-2.2,54
C0088.MP4,45,46.4,51.6,-5.2,53
C0089.MP4,45,50.6,51.6,-1.0,57
C0090.MP4,45,45.9,51.6,-5.7,71
C0091.MP4,45,46.1,51.6,-5.5,55
C0112.MP4,45,53.4,51.6,1.8,53
C0113.MP4,45,53.9,51.6,2.3,51
C0114.MP4,45,54.9,51.6,3.3,51
C0115.MP4,45,54.1,51.6,2.5,51
C0116.MP4,45,55.9,51.6,4.3,45
C0117.MP4,45,55.3,51.6,3.7,43
C0118.MP4,45,55.5,51.6,3.9,42
C0119.MP4,45,53.4,51.6,1.8,37
C0120.MP4,45,51.1,51.6,-0.5,37
C0121.MP4,45,52.1,51.6,0.5,45
C0122.MP4,45,56.6,51.6,5.0,53
C0123.MP4,45,51.0,51.6,-0.6,49
C0124.MP4,45,56.3,51.6,4.7,33
C0125.MP4,45,53.5,51.6,1.9,51
C0126.MP4,45,50.0,51.6,-1.6,43
C0127.MP4,45,55.0,51.6,3.4,41
C0128.MP4,45,64.5,51.6,12.9,87
C0129.MP4,45,47.0,51.6,-4.6,45
C0130.MP4,45,42.3,51.6,-9.3,45
C0131.MP4,45,54.7,51.6,3.1,33
C0132.MP4,45,54.4,51.6,2.8,39
C0133.MP4,45,53.9,51.6,2.3,65
C0134.MP4,45,52.0,51.6,0.4,53
C0136.MP4,45,54.8,51.6,3.2,33
C0137.MP4,45,54.4,51.6,2.8,60
C0138.MP4,45,55.0,51.6,3.4,44
C0139.MP4,45,54.0,51.6,2.4,41
C0140.MP4,45,54.1,51.6,2.5,40
C0141.MP4,45,51.2,51.6,-0.4,47
C0142.MP4,45,53.5,51.6,1.9,44
C0145.MP4,45,36.6,51.6,-15.0,30
C0147.MP4,60,63.4,64.6,-1.2,77
C0148.MP4,60,79.5,64.6,14.9,57
C0149.MP4,60,62.4,64.6,-2.2,63
C0150.MP4,60,65.3,64.6,0.7,63
C0151.MP4,60,59.9,64.6,-4.7,59
C0152.MP4,60,59.3,64.6,-5.3,69
C0153.MP4,60,64.7,64.6,0.1,57
C0154.MP4,60,64.5,64.6,-0.1,67
C0155.MP4,60,64.7,64.6,0.1,53
C0156.MP4,60,63.7,64.6,-0.9,75
C0157.MP4,60,65.1,64.6,0.5,81
C0158.MP4,60,65.3,64.6,0.7,107
C0159.MP4,60,64.9,64.6,0.3,97
C0160.MP4,60,64.8,64.6,0.2,79
C0161.MP4,60,65.1,64.6,0.5,69
C0162.MP4,60,59.5,64.6,-5.1,77
C0163.MP4,60,63.9,64.6,-0.7,71
C0164.MP4,60,65.4,64.6,0.8,61
C0165.MP4,60,65.0,64.6,0.4,73
C0166.MP4,60,59.1,64.6,-5.5,65
C0167.MP4,60,64.9,64.6,0.3,69
C0168.MP4,60,63.4,64.6,-1.2,57
C0169.MP4,60,59.0,64.6,-5.6,55
C0170.MP4,60,64.1,64.6,-0.5,63
C0171.MP4,60,53.7,64.6,-10.9,61
C0172.MP4,60,65.2,64.6,0.6,63
C0173.MP4,60,65.1,64.6,0.5,59
C0174.MP4,60,65.6,64.6,1.0,67
C0175.MP4,60,63.2,64.6,-1.4,59
C0176.MP4,60,64.1,64.6,-0.5,61
C0177.MP4,60,66.7,64.6,2.1,57
C0178.MP4,60,66.1,64.6,1.5,55
C0179.MP4,60,65.8,64.6,1.2,65
C0180.MP4,60,83.5,64.6,18.9,62
C0181.MP4,60,66.5,64.6,1.9,61
