filename,angle_deg,displacement_cm,x_entry_px,x_contact_px
C0051.MP4,30,11.35,1012,1273
C0052.MP4,30,10.74,996,1243
C0053.MP4,30,13.04,998,1298
C0054.MP4,30,13.52,1026,1337
C0055.MP4,30,ERROR,,
C0056.MP4,30,10.96,1002,1254
C0057.MP4,30,12.09,1014,1292
C0058.MP4,30,12.0,1020,1296
C0059.MP4,30,13.74,1003,1319
C0060.MP4,30,10.26,996,1232
C0061.MP4,30,10.04,1016,1247
C0062.MP4,30,12.83,1016,1311
C0063.MP4,30,11.7,981,1250
C0064.MP4,30,11.74,1015,1285
C0065.MP4,30,12.35,1019,1303
C0066.MP4,30,13.13,1011,1313
C0067.MP4,30,13.48,1021,1331
C0068.MP4,30,13.17,1012,1315
C0069.MP4,30,13.22,1014,1318
C0070.MP4,30,14.17,1017,1343
C0071.MP4,30,12.22,1018,1299
C0072.MP4,30,11.83,1021,1293
C0073.MP4,30,13.39,1020,1328
C0074.MP4,30,11.22,1020,1278
C0075.MP4,30,10.61,1014,1258
C0076.MP4,30,11.39,1009,1271
C0077.MP4,30,13.13,1011,1313
C0078.MP4,30,10.43,1004,1244
C0079.MP4,30,12.7,1014,1306
C0080.MP4,30,13.04,1017,1317
C0081.MP4,45,9.61,1072,1293
C0082.MP4,45,8.52,1100,1296
C0083.MP4,45,11.26,991,1250
C0084.MP4,45,9.91,994,1222
C0085.MP4,45,9.13,1001,1211
C0086.MP4,45,10.52,997,1239
C0087.MP4,45,10.7,1006,1252
C0088.MP4,45,9.65,1002,1224
C0089.MP4,45,10.78,1001,1249
C0090.MP4,45,10.52,1000,1242
C0091.MP4,45,8.26,1000,1190
C0112.MP4,45,10.35,1034,1272
C0113.MP4,45,9.22,1046,1258
C0114.MP4,45,9.57,1019,1239
C0115.MP4,45,11.04,1030,1284
C0116.MP4,45,9.91,1032,1260
C0117.MP4,45,10.7,1027,1273
C0118.MP4,45,8.39,1038,1231
C0119.MP4,45,8.3,1048,1239
C0120.MP4,45,8.78,1044,1246
C0121.MP4,45,11.78,1040,1311
C0122.MP4,45,11.13,1031,1287
C0123.MP4,45,10.74,1030,1277
C0124.MP4,45,9.65,1043,1265
C0125.MP4,45,10.78,1037,1285
C0126.MP4,45,11.57,1034,1300
C0127.MP4,45,10.61,1020,1264
C0128.MP4,45,10.91,1035,1286
C0129.MP4,45,8.57,1038,1235
C0130.MP4,45,6.57,1097,1248
C0131.MP4,45,10.43,1037,1277
C0132.MP4,45,8.78,1043,1245
C0133.MP4,45,10.35,1049,1287
C0134.MP4,45,10.74,1036,1283
C0136.MP4,45,8.83,1048,1251
C0137.MP4,45,10.78,1046,1294
C0138.MP4,45,10.3,1052,1289
C0139.MP4,45,10.13,1050,1283
C0140.MP4,45,10.65,1049,1294
C0141.MP4,45,11.0,1036,1289
C0142.MP4,45,11.17,1039,1296
C0145.MP4,45,10.65,1042,1287
C0147.MP4,60,6.43,988,1136
C0148.MP4,60,7.13,991,1155
C0149.MP4,60,5.0,994,1109
C0150.MP4,60,4.61,993,1099
C0151.MP4,60,7.52,997,1170
C0152.MP4,60,6.3,1010,1155
C0153.MP4,60,3.61,1006,1089
C0154.MP4,60,6.7,999,1153
C0155.MP4,60,7.48,989,1161
C0156.MP4,60,8.0,989,1173
C0157.MP4,60,6.17,996,1138
C0158.MP4,60,7.74,996,1174
C0159.MP4,60,7.74,990,1168
C0160.MP4,60,6.7,993,1147
C0161.MP4,60,6.39,1000,1147
C0162.MP4,60,6.57,999,1150
C0163.MP4,60,7.22,1001,1167
C0164.MP4,60,2.65,1004,1065
C0165.MP4,60,9.13,1002,1212
C0166.MP4,60,7.09,1002,1165
C0167.MP4,60,6.7,993,1147
C0168.MP4,60,7.43,992,1163
C0169.MP4,60,1.74,998,958
C0170.MP4,60,3.09,1011,1082
C0171.MP4,60,6.26,990,1134
C0172.MP4,60,7.04,1000,1162
C0173.MP4,60,1.35,1007,976
C0174.MP4,60,8.3,1001,1192
C0175.MP4,60,2.7,1028,966
C0176.MP4,60,6.48,993,1142
C0177.MP4,60,5.26,999,1120
C0178.MP4,60,8.7,1000,1200
C0179.MP4,60,6.43,1000,1148
C0180.MP4,60,4.65,1004,1111
C0181.MP4,60,6.7,1006,1160
