filename,angle_deg,displacement_raw_cm,entry_angle_used_deg,com_offset_cm,displacement_com_cm,x_entry_px,x_contact_px
C0051.MP4,30,11.35,43.6,2.76,14.11,1012,1273
C0052.MP4,30,10.74,43.2,2.78,13.52,996,1243
C0053.MP4,30,13.04,42.0,2.83,15.87,998,1298
C0054.MP4,30,13.52,41.7,2.84,16.36,1026,1337
C0055.MP4,30,ERROR,,,ERROR,,
C0056.MP4,30,10.96,46.3,2.63,13.59,1002,1254
C0057.MP4,30,12.09,42.4,2.81,14.9,1014,1292
C0058.MP4,30,12.0,41.2,2.87,14.87,1020,1296
C0059.MP4,30,13.74,42.3,2.82,16.56,1003,1319
C0060.MP4,30,10.26,41.9,2.84,13.1,996,1232
C0061.MP4,30,10.04,44.5,2.72,12.76,1016,1247
C0062.MP4,30,12.83,41.0,2.88,15.71,1016,1311
C0063.MP4,30,11.7,41.7,2.84,14.54,981,1250
C0064.MP4,30,11.74,40.3,2.91,14.65,1015,1285
C0065.MP4,30,12.35,41.3,2.86,15.21,1019,1303
C0066.MP4,30,13.13,42.3,2.82,15.95,1011,1313
C0067.MP4,30,13.48,38.8,2.97,16.45,1021,1331
C0068.MP4,30,13.17,41.0,2.88,16.05,1012,1315
C0069.MP4,30,13.22,38.3,2.99,16.21,1014,1318
C0070.MP4,30,14.17,41.5,2.85,17.02,1017,1343
C0071.MP4,30,12.22,38.7,2.97,15.19,1018,1299
C0072.MP4,30,11.83,41.0,2.88,14.71,1021,1293
C0073.MP4,30,13.39,38.1,3.0,16.39,1020,1328
C0074.MP4,30,11.22,42.7,2.8,14.02,1020,1278
C0075.MP4,30,10.61,40.4,2.9,13.51,1014,1258
C0076.MP4,30,11.39,39.3,2.95,14.34,1009,1271
C0077.MP4,30,13.13,40.5,2.9,16.03,1011,1313
C0078.MP4,30,10.43,42.4,2.81,13.24,1004,1244
C0079.MP4,30,12.7,41.5,2.85,15.55,1014,1306
C0080.MP4,30,13.04,41.5,2.85,15.89,1017,1317
C0081.MP4,45,9.61,50.1,2.44,12.05,1072,1293
C0082.MP4,45,8.52,47.3,2.58,11.1,1100,1296
C0083.MP4,45,11.26,48.2,2.54,13.8,991,1250
C0084.MP4,45,9.91,49.3,2.48,12.39,994,1222
C0085.MP4,45,9.13,47.0,2.6,11.73,1001,1211
C0086.MP4,45,10.52,48.4,2.53,13.05,997,1239
C0087.MP4,45,10.7,49.4,2.48,13.18,1006,1252
C0088.MP4,45,9.65,46.4,2.63,12.28,1002,1224
C0089.MP4,45,10.78,50.6,2.42,13.2,1001,1249
C0090.MP4,45,10.52,45.9,2.65,13.17,1000,1242
C0091.MP4,45,8.26,46.1,2.64,10.9,1000,1190
C0112.MP4,45,10.35,53.4,2.27,12.62,1034,1272
C0113.MP4,45,9.22,53.9,2.24,11.46,1046,1258
C0114.MP4,45,9.57,54.9,2.19,11.76,1019,1239
C0115.MP4,45,11.04,54.1,2.23,13.27,1030,1284
C0116.MP4,45,9.91,55.9,2.14,12.05,1032,1260
C0117.MP4,45,10.7,55.3,2.17,12.87,1027,1273
C0118.MP4,45,8.39,55.5,2.16,10.55,1038,1231
C0119.MP4,45,8.3,53.4,2.27,10.57,1048,1239
C0120.MP4,45,8.78,51.1,2.39,11.17,1044,1246
C0121.MP4,45,11.78,52.1,2.34,14.12,1040,1311
C0122.MP4,45,11.13,56.6,2.1,13.23,1031,1287
C0123.MP4,45,10.74,51.0,2.4,13.14,1030,1277
C0124.MP4,45,9.65,56.3,2.11,11.76,1043,1265
C0125.MP4,45,10.78,53.5,2.27,13.05,1037,1285
C0126.MP4,45,11.57,50.0,2.45,14.02,1034,1300
C0127.MP4,45,10.61,55.0,2.19,12.8,1020,1264
C0128.MP4,45,10.91,51.8,2.36,13.27,1035,1286
C0129.MP4,45,8.57,47.0,2.6,11.17,1038,1235
C0130.MP4,45,6.57,42.3,2.82,9.39,1097,1248
C0131.MP4,45,10.43,54.7,2.2,12.63,1037,1277
C0132.MP4,45,8.78,54.4,2.22,11.0,1043,1245
C0133.MP4,45,10.35,53.9,2.24,12.59,1049,1287
C0134.MP4,45,10.74,52.0,2.35,13.09,1036,1283
C0136.MP4,45,8.83,54.8,2.2,11.03,1048,1251
C0137.MP4,45,10.78,54.4,2.22,13.0,1046,1294
C0138.MP4,45,10.3,55.0,2.19,12.49,1052,1289
C0139.MP4,45,10.13,54.0,2.24,12.37,1050,1283
C0140.MP4,45,10.65,54.1,2.23,12.88,1049,1294
C0141.MP4,45,11.0,51.2,2.39,13.39,1036,1289
C0142.MP4,45,11.17,53.5,2.27,13.44,1039,1296
C0145.MP4,45,10.65,51.8,2.36,13.01,1042,1287
C0147.MP4,60,6.43,63.4,1.71,8.14,988,1136
C0148.MP4,60,7.13,63.6,1.69,8.82,991,1155
C0149.MP4,60,5.0,62.4,1.77,6.77,994,1109
C0150.MP4,60,4.61,65.3,1.59,6.2,993,1099
C0151.MP4,60,7.52,59.9,1.91,9.43,997,1170
C0152.MP4,60,6.3,59.3,1.95,8.25,1010,1155
C0153.MP4,60,3.61,64.7,1.63,5.24,1006,1089
C0154.MP4,60,6.7,64.5,1.64,8.34,999,1153
C0155.MP4,60,7.48,64.7,1.63,9.11,989,1161
C0156.MP4,60,8.0,63.7,1.69,9.69,989,1173
C0157.MP4,60,6.17,65.1,1.6,7.77,996,1138
C0158.MP4,60,7.74,65.3,1.59,9.33,996,1174
C0159.MP4,60,7.74,64.9,1.62,9.36,990,1168
C0160.MP4,60,6.7,64.8,1.62,8.32,993,1147
C0161.MP4,60,6.39,65.1,1.6,7.99,1000,1147
C0162.MP4,60,6.57,59.5,1.93,8.5,999,1150
C0163.MP4,60,7.22,63.9,1.68,8.9,1001,1167
C0164.MP4,60,2.65,65.4,1.59,4.24,1004,1065
C0165.MP4,60,9.13,65.0,1.61,10.74,1002,1212
C0166.MP4,60,7.09,59.1,1.96,9.05,1002,1165
C0167.MP4,60,6.7,64.9,1.62,8.32,993,1147
C0168.MP4,60,7.43,63.4,1.71,9.14,992,1163
C0169.MP4,60,1.74,59.0,1.96,3.7,998,958
C0170.MP4,60,3.09,64.1,1.66,4.75,1011,1082
C0171.MP4,60,6.26,53.7,2.26,8.52,990,1134
C0172.MP4,60,7.04,65.2,1.6,8.64,1000,1162
C0173.MP4,60,1.35,65.1,1.6,2.95,1007,976
C0174.MP4,60,8.3,65.6,1.57,9.87,1001,1192
C0175.MP4,60,2.7,63.2,1.72,4.42,1028,966
C0176.MP4,60,6.48,64.1,1.66,8.14,993,1142
C0177.MP4,60,5.26,66.7,1.51,6.77,999,1120
C0178.MP4,60,8.7,66.1,1.54,10.24,1000,1200
C0179.MP4,60,6.43,65.8,1.56,7.99,1000,1148
C0180.MP4,60,4.65,63.6,1.69,6.34,1004,1111
C0181.MP4,60,6.7,66.5,1.52,8.22,1006,1160
